Percent Filled, Vec iter time, DenseVec iter time, BTree iter time, HashMap iter time, Null iter time
0%, 16, 0, 0, 0, 0
1%, 367, 404, 5350, 3361, 331
2%, 713, 726, 10745, 8650, 653
3%, 1061, 1120, 16649, 15129, 978
4%, 1559, 1501, 22432, 25138, 1305
5%, 1745, 1838, 27888, 23503, 1594
6%, 2101, 2177, 33688, 30414, 1925
7%, 2449, 2510, 39219, 36844, 2258
8%, 2789, 2864, 45047, 42271, 2567
9%, 3126, 3256, 51034, 74694, 2935
10%, 3496, 3596, 56943, 48729, 3196
11%, 3783, 3980, 63494, 57331, 4182
12%, 4184, 4312, 70080, 68576, 3895
13%, 4501, 4648, 75936, 69602, 4238
14%, 4859, 4988, 81646, 96730, 4522
15%, 5256, 5491, 89430, 102608, 7372
16%, 5536, 5866, 93420, 137306, 5265
17%, 5910, 6223, 99610, 120455, 5535
18%, 6179, 6510, 106425, 138482, 5916
19%, 6666, 7145, 114237, 198199, 6145
20%, 6972, 7211, 118802, 105786, 6581
21%, 7249, 7477, 138288, 104928, 6845
22%, 7604, 8020, 131630, 107689, 7019
23%, 8180, 8392, 139050, 114184, 7517
24%, 8284, 8580, 140451, 124185, 7711
25%, 8539, 9178, 150316, 134482, 11871
26%, 9007, 9361, 152907, 150510, 8436
27%, 9355, 9863, 159272, 162614, 8901
28%, 9757, 10111, 165925, 171058, 12238
29%, 10071, 10386, 173502, 179769, 9253
30%, 10469, 10911, 180481, 205395, 9772
31%, 10735, 11105, 187351, 237013, 10205
32%, 14205, 14599, 197597, 249434, 10437
33%, 11806, 12564, 201610, 253265, 10953
34%, 11914, 12232, 222175, 291109, 10923
35%, 12091, 12661, 208869, 318408, 15033
36%, 12598, 13244, 219128, 367442, 11713
37%, 13016, 13442, 223744, 337982, 12079
38%, 13068, 13842, 228121, 387988, 12554
39%, 14581, 13977, 235290, 199496, 12746
40%, 13605, 14385, 238528, 214494, 12920
41%, 14336, 14996, 247017, 225560, 13342
42%, 14566, 15425, 252702, 198243, 13767
43%, 15035, 15733, 282605, 226886, 14298
44%, 15228, 15848, 265612, 232813, 14421
45%, 15979, 16275, 296444, 255365, 15042
46%, 17217, 17739, 282178, 256357, 15303
47%, 16201, 16982, 294141, 279476, 15414
48%, 18567, 17459, 316101, 271236, 15798
49%, 18193, 18106, 302665, 275243, 16055
50%, 17392, 18242, 303943, 273322, 16462
51%, 17305, 18373, 307209, 279162, 16627
52%, 19048, 20306, 330202, 298073, 17295
53%, 18812, 19456, 324861, 281400, 17109
54%, 18711, 19641, 328914, 343971, 17673
55%, 19281, 20153, 376382, 348426, 18393
56%, 20088, 20694, 363572, 337222, 18253
57%, 20143, 21357, 344961, 363770, 18772
58%, 20174, 21010, 362347, 366377, 22131
59%, 20827, 21966, 367260, 360614, 19243
60%, 20969, 31767, 517033, 412759, 20160
61%, 21347, 22381, 375582, 406496, 19661
62%, 22035, 23227, 386900, 435253, 20499
63%, 22159, 23300, 406817, 451216, 20645
64%, 22287, 23359, 399437, 432980, 20839
65%, 36069, 24064, 403898, 443827, 21142
66%, 23640, 25024, 412818, 490078, 34967
67%, 24079, 24830, 431213, 459551, 22217
68%, 23575, 24825, 419643, 542229, 22574
69%, 23857, 24882, 422521, 550362, 22792
70%, 26279, 27524, 450510, 581886, 22995
71%, 24497, 25552, 444933, 543106, 23081
72%, 25068, 26175, 496713, 658058, 23856
73%, 26249, 27020, 470495, 644581, 29363
74%, 33624, 32395, 459703, 652159, 23872
75%, 25941, 27057, 464667, 748417, 24995
76%, 26299, 27717, 479870, 915149, 25539
77%, 27183, 28567, 477648, 400933, 25491
78%, 27178, 28447, 495868, 399427, 25294
79%, 27319, 28504, 490713, 408075, 25948
80%, 28037, 29024, 503307, 406862, 26220
81%, 28161, 29499, 525013, 445104, 26361
82%, 28641, 30099, 523338, 418306, 27056
83%, 28605, 29872, 534121, 427479, 27106
84%, 29030, 30563, 533126, 418317, 27640
85%, 30278, 31139, 527637, 449064, 27869
86%, 29715, 31118, 536282, 437727, 28120
87%, 30382, 31787, 559965, 452034, 28452
88%, 30318, 31993, 557085, 439015, 28675
89%, 31269, 32486, 577404, 494932, 29919
90%, 33279, 34600, 569395, 478574, 29577
91%, 37798, 37987, 629229, 511396, 30355
92%, 39009, 39936, 619646, 525891, 30707
93%, 35514, 36085, 587607, 635779, 31016
94%, 33530, 35432, 612590, 643402, 30713
95%, 34763, 35098, 624898, 486024, 30685
96%, 33224, 35106, 623465, 501641, 31335
97%, 33582, 51851, 613665, 521021, 31860
98%, 34025, 35522, 643363, 542250, 32067
99%, 35384, 38092, 644273, 597316, 32396
100%, 34627, 36363, 632921, 530529, 32665
